Id,Name,Submitted-At,Started-At,Stopped-At,Op-Info,State,Detailed State
w79,s3-gyc,2018-06-26 19:48:21,2018-06-26 19:48:21,2018-06-26 19:48:27,init write,terminated,queuing @ 2018-06-26 19:48:21,processing @ 2018-06-26 19:48:21,terminated @ 2018-06-26 19:48:27
w80,s3-gyc,2018-06-26 19:51:34,2018-06-26 19:51:34,2018-06-26 20:03:13,init write,finished,queuing @ 2018-06-26 19:51:34,processing @ 2018-06-26 19:51:34,finished @ 2018-06-26 20:03:13
w81,s3-gyc,2018-06-26 20:03:41,2018-06-26 20:03:41,2018-06-26 20:08:44,read,finished,queuing @ 2018-06-26 20:03:41,processing @ 2018-06-26 20:03:41,finished @ 2018-06-26 20:08:44
w82,s3-gyc,2018-06-26 20:15:30,2018-06-26 20:15:30,2018-06-26 20:17:52,init write,cancelled,queuing @ 2018-06-26 20:15:30,processing @ 2018-06-26 20:15:30,cancelled @ 2018-06-26 20:17:52
w83,s3-gyc,2018-06-26 20:21:36,2018-06-26 20:21:36,2018-06-26 20:24:21,init write,cancelled,queuing @ 2018-06-26 20:21:36,processing @ 2018-06-26 20:21:36,cancelled @ 2018-06-26 20:24:21
w84,s3-gyc,2018-06-26 20:26:09,2018-06-26 20:26:09,2018-06-26 20:38:02,init write,finished,queuing @ 2018-06-26 20:26:09,processing @ 2018-06-26 20:26:09,finished @ 2018-06-26 20:38:02
w85,s3-gyc,2018-06-26 20:41:57,2018-06-26 20:41:57,2018-06-26 20:47:00,read,finished,queuing @ 2018-06-26 20:41:57,processing @ 2018-06-26 20:41:57,finished @ 2018-06-26 20:47:00
w86,s3-gyc,2018-06-26 20:51:44,2018-06-26 20:51:44,2018-06-26 21:03:29,init write,finished,queuing @ 2018-06-26 20:51:44,processing @ 2018-06-26 20:51:44,finished @ 2018-06-26 21:03:29
w87,s3-gyc,2018-06-26 20:51:45,2018-06-26 21:03:29,2018-06-26 21:08:25,read,finished,queuing @ 2018-06-26 20:51:45,processing @ 2018-06-26 21:03:29,finished @ 2018-06-26 21:08:25
w88,s3-gyc,2018-06-27 10:32:24,2018-06-27 10:32:24,2018-06-27 10:42:36,init write,finished,queuing @ 2018-06-27 10:32:24,processing @ 2018-06-27 10:32:24,finished @ 2018-06-27 10:42:36
